__v,_id,address,branch,email,first_name,last_name,password,phone_no,pickup_point,profile_img,role,salt,semester,status,username
0,63a71245c2806026647c6c3c,asdasd,B.Tech,sadsssr@sasd.com,swati,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,admin,10,6,0,admin
0,63a71245c2806026647c6c41,asdasd,B.Tech,sadsmss@sasd.com,simrella,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020008
0,63a71245c2806026647c6c30,asdasd,B.Tech,santparja@gmail.com,kheersagar,parja,123457,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,2,01ug19020020
0,63a71245c2806026647c6c3b,asdasd,B.Tech,sadsses@sasd.com,sonu,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020014
0,63a71245c2806026647c6c33,asdasd,B.Tech,sadsdss@sasd.com,sakshi,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020022
0,63a71245c2806026647c6c48,asdasd,B.Tech,sadssvvcs@sasd.com,surbhi,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020001
0,63a71245c2806026647c6c3d,asdasd,B.Tech,sadsssdfsdts@sasd.com,vedika,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug190200512
0,63a71245c2806026647c6c40,asdasd,B.Tech,sadsxss@sasd.com,satyam,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020009
0,63a71245c2806026647c6c42,asdasd,B.Tech,sadnsss@sasd.com,sonali,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020007
0,63a71245c2806026647c6c43,asdasd,B.Tech,sadlsss@sasd.com,monal,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020006
0,63a71245c2806026647c6c45,asdasd,B.Tech,sadsshs@sasd.com,abhishek,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020004
0,63a71245c2806026647c6c37,asdasd,B.Tech,sadsiss@sasd.com,shikhar,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020018
0,63a71245c2806026647c6c46,asdasd,B.Tech,sadssbs@sasd.com,aditya,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020003
